time_micro,sensor_01_11,sensor_02_12,sensor_03_13,sensor_04_14,sensor_05_15,sensor_06_16,sensor_07_21,sensor_08_22,sensor_09_23,sensor_10_24,sensor_11_25,sensor_12_26,sensor_13_31,sensor_14_32,sensor_15_33,sensor_16_34,sensor_17_35,sensor_18_36,sensor_19_41,sensor_20_42,sensor_21_43,sensor_22_44,sensor_23_45,sensor_24_46,sensor_25_51,sensor_26_52,sensor_27_53,sensor_28_54,sensor_29_55,sensor_30_56,sensor_31_61,sensor_32_62,sensor_33_63,sensor_34_64,sensor_35_65,sensor_36_66
526112334,4095,2435,2077,2102,1807,4095,1973,2269,1873,2054,2021,2097,1925,2115,1611,2126,1625,2183,2123,2233,1598,2283,2505,2032,2026,2226,1617,2265,1900,1729,1774,2249,2102,2085,1707,2595
526137332,4095,2479,2094,2136,1789,4095,1979,2461,1860,2078,2010,2087,1930,2179,1540,2194,1628,2202,2154,2308,1531,2330,2521,2026,2028,2295,1494,2306,1870,1719,1756,2308,2102,2051,1738,2581
526163333,4095,2520,2105,2164,1780,4095,1975,2577,1837,2083,2023,2087,1964,2201,1492,2259,1659,2222,2168,2339,1499,2345,2534,2026,2028,2331,1455,2321,1850,1696,1758,2338,2084,2103,1728,2576
526190332,4095,2540,2103,2175,1776,4095,1987,2646,1831,2094,2024,2094,1976,2226,1445,2322,1671,2248,2184,2375,1455,2371,2550,2039,2045,2374,1393,2328,1844,1695,1737,2380,2080,2127,1733,2579
526216332,4095,2574,2093,2195,1785,4095,2006,2716,1820,2111,2046,2096,1965,2237,1406,2375,1650,2252,2188,2394,1430,2376,2548,2031,2048,2392,1362,2333,1840,1683,1739,2389,2078,2007,1746,2572
526242332,4095,2563,2091,2198,1761,4095,1987,2705,1802,2099,2034,2100,1962,2233,1406,2389,1658,2260,2165,2366,1437,2378,2544,2020,2047,2352,1377,2321,1834,1697,1734,2369,2071,2060,1727,2565
526269332,4095,2538,2088,2180,1782,4095,1988,2654,1812,2096,2022,2110,1950,2203,1433,2334,1654,2245,2163,2310,1470,2354,2540,2031,2056,2303,1438,2318,1857,1706,1771,2328,2086,2088,1726,2592
526295332,4095,2513,2074,2161,1793,4095,1983,2567,1822,2082,2032,2121,1940,2163,1495,2259,1644,2225,2124,2246,1517,2298,2506,2029,2063,2214,1550,2272,1882,1733,1800,2259,2091,2050,1699,2597
526321333,4095,2463,2069,2126,1808,4095,1957,2446,1842,2079,2042,2124,1928,2129,1603,2172,1625,2210,2081,2157,1594,2254,2471,2037,2058,2127,1674,2248,1923,1768,1840,2196,2132,2069,1696,2610
526347334,4095,2396,2057,2083,1834,4095,1976,2268,1872,2050,2031,2130,1905,2060,1687,2105,1566,2185,2035,2070,1668,2180,2443,2048,2052,2025,1790,2197,1944,1800,1863,2132,2129,2050,1680,2636
526374332,4095,2329,2052,2045,1844,4095,1966,2108,1876,2028,2034,2134,1868,1968,1758,2073,1538,2177,1980,1967,1724,2125,2403,2033,2013,1925,1889,2139,1969,1816,1877,2081,2127,2136,1662,2662
526400332,4095,2273,2029,2022,1844,4095,1946,1997,1882,2023,2029,2130,1871,1917,1807,2040,1523,2175,1917,1916,1768,2081,2380,2026,1975,1873,1948,2088,1976,1837,1883,2026,2129,2072,1660,2659
526426333,4095,2244,2034,1990,1837,4095,1950,1908,1887,2003,2014,2120,1832,1869,1828,2030,1505,2157,1862,1858,1790,2048,2354,2033,1933,1828,1993,2055,1983,1837,1912,2017,2120,2084,1640,2663
526453333,4095,2198,2024,1987,1865,4095,1948,1870,1907,2004,2004,2118,1830,1835,1846,2004,1542,2144,1825,1816,1797,2008,2342,2027,1916,1784,2025,2017,2002,1851,1919,2010,2133,2145,1645,2673
526479333,4095,2186,2006,1974,1863,4095,1961,1848,1914,2001,2004,2124,1847,1804,1876,2022,1482,2142,1796,1788,1826,2009,2338,2031,1886,1766,2057,1994,1998,1873,1915,1988,2127,2029,1628,2685
526505333,4095,2169,2013,1963,1859,4095,1955,1819,1901,1982,1980,2103,1837,1760,1872,2013,1501,2148,1775,1765,1841,1982,2330,2029,1860,1751,2067,1965,2000,1875,1883,1980,2127,2039,1640,2682
